city;lat;lon
Staden;POINT (3.0145726000000002 50.9747148000000010)
Nivelles;POINT (4.3235853999999998 50.5976884999999967)
Florenville;POINT (5.3100518000000001 49.6993182000000004)
Buggenhout;POINT (4.2022689000000000 51.0152270999999971)
Brunehaut;POINT (3.4082216999999999 50.5292247000000003)
Frameries;POINT (3.8933015000000002 50.4096510999999978)
Brasschaat;POINT (4.4917294999999999 51.2900692999999990)
Mechelen;POINT (4.4803452999999998 51.0281380999999996)
Habay;POINT (5.5929465000000000 49.7356401999999989)
Mouscron;POINT (3.2142729000000001 50.7436671999999973)
Houffalize;POINT (5.7886927999999997 50.1323761000000019)
Boortmeerbeek;POINT (4.5522163000000004 50.9808426000000026)
Scherpenheuvel-Zichem;POINT (4.9740172999999999 50.9801033000000032)
Leuven;POINT (4.7011675000000004 50.8792019999999994)
Merelbeke;POINT (3.7459118999999999 50.9942923999999991)
Bundaberg;POINT (152.3516784999999913 -24.8653252999999985)
Molenbeek-Saint-Jean;POINT (4.3386360000000002 50.8545958999999996)
Gouvy;POINT (5.9428000000000001 50.1857408999999990)
Leuze-en-Hainaut;POINT (3.6277300000000001 50.5968463999999969)
Oud-Turnhout;POINT (4.9817086000000002 51.3178319000000016)
Leeuw-Saint-Pierre;POINT (4.2443603999999997 50.7800261000000006)
Rebecq;POINT (4.1350275999999999 50.6735582000000022)
Budel;POINT (5.5744904999999996 51.2744706000000008)
Hamont-Achel;POINT (5.5128696000000001 51.2547635999999969)
Haacht;POINT (4.6383121000000003 50.9769474000000002)
Temse;POINT (4.2133313000000001 51.1253634999999989)
Aywaille;POINT (5.6763249000000000 50.4758998000000005)
Dentergem;POINT (3.4191601999999999 50.9642782999999966)
Tielt;POINT (3.3273362000000000 51.0002939000000026)
Alken;POINT (5.3079872999999997 50.8754731000000007)
Yvoir;POINT (4.8778150000000000 50.3260424999999998)
Herzele;POINT (3.8988564000000001 50.8699918000000011)
Genappe;POINT (4.4510725999999998 50.6108733000000015)
Maasmechelen;POINT (5.6960211999999997 50.9634179000000032)
Rixensart;POINT (4.5216218000000001 50.7122566000000035)
Brugge;POINT (3.2267720000000000 51.2085525999999973)
Kortrijk;POINT (3.2659883999999999 50.8276429000000007)
Plombières;POINT (5.9611134000000003 50.7377317999999988)
Brookvale;POINT (151.2707024000000047 -33.7628854000000018)
Oostkamp;POINT (3.2341432999999999 51.1213769000000013)
Waimes;POINT (6.1222906999999998 50.4724141000000017)
Izegem;POINT (3.2154349999999998 50.9198305000000033)
Hasselt;POINT (5.3378043000000002 50.9303735000000017)
Anderlecht;POINT (4.3296526000000002 50.8390983000000034)
Baarle-Hertog;POINT (4.9316994999999997 51.4383588999999972)
Zandhoven;POINT (4.6595103000000000 51.2147918000000004)
Bree;POINT (5.6392806999999996 51.1439129999999977)
Le Rœulx;POINT (4.0914883000000000 50.5047945999999968)
Antwerpen;POINT (4.3997080999999998 51.2211096999999995)
Ternat;POINT (4.1756966000000002 50.8713392000000013)
Harelbeke;POINT (3.3113698999999999 50.8575119999999998)
Péruwelz;POINT (3.5636806999999999 50.5333210000000008)
Erpe-Mere;POINT (3.9395292000000000 50.9151431000000017)
Asse;POINT (4.2015646000000002 50.9094333000000034)
Liège;POINT (5.5736112000000002 50.6450943999999978)
Turnhout;POINT (4.9299923999999997 51.3289320000000018)
Puurs-Sint-Amands;POINT (4.2812346000000003 51.0664110000000022)
Hoegaarden;POINT (4.8870342999999998 50.7741895999999997)
Sint-Pieters-Leeuw;POINT (4.2443603999999997 50.7800261000000006)
Zaventem;POINT (4.4730008000000003 50.8806207000000015)
Gent;POINT (3.7250120999999998 51.0538286000000028)
Wevelgem;POINT (3.1841013000000000 50.8089591000000027)
Ieper;POINT (2.8846047000000001 50.8521946999999983)
Londerzeel;POINT (4.3028048999999999 51.0021193999999980)
Malmedy;POINT (6.0276059000000002 50.4265347999999989)
Lochristi;POINT (3.8597812999999999 51.1366583000000006)
Thuin;POINT (4.2870474999999999 50.3397445000000019)
Melle;POINT (3.7988833000000000 51.0030300000000025)
Somme-Leuze;POINT (5.3212257000000003 50.3137229000000019)
Evergem;POINT (3.7108213999999999 51.1429960999999977)
Zwevegem;POINT (3.3755864000000000 50.7828566000000023)
Chimay;POINT (4.3212573000000001 50.0356457999999975)
Sint-Gillis-Waas;POINT (4.1286101000000004 51.2179895000000016)
Halle;POINT (4.2374349000000002 50.7360523999999984)
Perth;POINT (115.8605783999999943 -31.9558967000000003)
Adelaide;POINT (138.5999311999999861 -34.9281805000000034)
Dinant;POINT (4.9130587999999999 50.2591813000000016)
Oudenaarde;POINT (3.6041443000000002 50.8433704999999989)
Opwijk;POINT (4.1896665000000004 50.9690529000000012)
Ath;POINT (3.7769485000000000 50.6311348999999993)
Buenos Aires;POINT (-58.3887903999999978 -34.6095578999999987)
March-en-Famenne;POINT (5.1839595 50.2181415)
Roeselare;POINT (3.1247650000000000 50.9444948000000011)
Comines-Warneton;POINT (2.9997568000000001 50.7687443000000016)
Begijnendijk;POINT (4.7821449999999999 51.0194097999999983)
Aubel;POINT (5.8585552999999999 50.7041498000000033)
Chambly;POINT (-73.2936944000000068 45.4483467000000019)
Preah Sihanouk;POINT (103.5223364999999944 10.6220485000000000)
Poperinge;POINT (2.7264960999999999 50.8556645999999972)
Merchtem;POINT (4.2335677000000000 50.9593636000000032)
Schilde;POINT (4.5814855000000003 51.2388703000000021)
Rochefort;POINT (5.1752821999999998 50.1554199999999994)
Houthalen-Helchteren;POINT (5.3780416000000004 51.0467932999999974)
Dendermonde;POINT (4.0981120000000004 51.0312292999999997)
Fortaleza;POINT (-38.5217989000000003 -3.7304512000000001)
Bocholt;POINT (5.5609272000000001 51.1767308000000014)
Ruiselede;POINT (3.3972673000000002 51.0412299999999988)
Orp-Jauche;POINT (4.9892189000000000 50.7000697000000002)
Waterloo;POINT (4.4084275999999996 50.7032863000000020)
Valdivia;POINT (-73.2459858999999938 -39.8141261999999969)
Sint-Truiden;POINT (5.1858896000000003 50.8152783999999969)
Ninove;POINT (4.0037421999999996 50.8214548999999991)
Montreal;POINT (-73.5698064999999986 45.5031824000000000)
Lebbeke;POINT (4.1307710999999996 51.0004013000000000)
Vleteren;POINT (2.7289867000000001 50.9301430000000011)
São Paulo;POINT (-46.6333824000000021 -23.5506506999999985)
Silly;POINT (3.9423485999999999 50.6428390000000022)
Qing Dao Shi, Shan Dong Sheng;POINT (113.2566259000000031 40.0626285000000024)
Anzegem;POINT (3.4491006000000000 50.8293239999999997)
Bogotá;POINT (-74.0836331000000001 4.6533816999999997)
Malle;POINT (4.6933094000000004 51.2970122999999987)
